ID,Policy_Start_Date,Policy_End_Date,Gender,Age,First_Transaction_Date,Policy_Count,Car_Category,Car_Colour,Car_Make,LGA_Name,State,Product_Name,Target
ID_35TQ1DV,2000-01-02,2001-01-01,Female,50,2000-01-02,1,Saloon,Red,Ford,Kano Municipal,Kano,Car Classic,1
ID_HPZ1H2G,2000-01-06,2001-01-05,Male,64,2000-01-06,4,Saloon,Black,Toyota,Kano Municipal,Kano,CarSafe,0
ID_DG62M85,2000-01-06,2001-01-05,Male,29,2000-01-06,1,Saloon,Unknown,Lexus,Kano Municipal,Kano,Car Classic,0
ID_PU0HDUL,2000-01-15,2001-01-14,Female,30,2000-01-15,1,Saloon,Black,Hyundai,Kano Municipal,Kano,Car Classic,0
ID_O1FTWQ7,2000-01-18,2001-01-17,Male,34,2000-01-18,4,Saloon,Dark Gray,Toyota,Asaba,Delta,Car Classic,1
ID_7YH1APB,2000-01-22,2001-01-21,Female,38,2000-01-22,1,Saloon,Silver,Toyota,Kano Municipal,Kano,Car Classic,0
ID_I153Z46,2000-01-26,2001-01-25,Male,40,2000-01-26,3,Truck,White,Mitsubishi,Tarauni,Kano,CVTP,1
ID_CP33H9I,2000-02-03,2001-02-02,Female,37,2000-02-03,2,Saloon,Black,Hyundai,Kano Municipal,Kano,Car Classic,0
ID_MZVC182,2000-02-05,2001-02-04,Male,50,2000-02-05,5,Saloon,Blue,Honda,Badagry,Lagos,Car Classic,1
ID_YXFTOAN,2000-02-26,2001-02-25,Male,73,2000-02-26,4,Saloon,Black,Toyota,Warri South,Delta,Customized Motor,0
ID_CPTF9BZ,2000-03-04,2001-03-04,Female,55,2000-03-04,1,Saloon,Black,Toyota,Kano Municipal,Kano,Car Classic,1
ID_XRY9VAW,2000-03-05,2001-03-05,Female,53,2000-03-05,5,SUV,Black,Ford,Enugu-East,Enugu,Car Classic,1
ID_QFYHY0F,2000-03-05,2001-03-05,Male,40,2000-03-05,2,Motorcycle,Blue,Toyota,Kano Municipal,Kano,Motor Cycle,1
ID_E8K93HH,2000-03-07,2001-03-07,Female,55,2000-03-07,3,Saloon,Blue,Suzuki,Abeokuta,Ogun,CarSafe,0
ID_XRUXPX9,2000-03-21,2001-03-21,Male,40,2000-03-21,5,Saloon,Silver,Mercedes,Asaba,Delta,Car Classic,1
ID_718KNIM,2000-04-06,2001-04-06,Male,65,2000-04-06,1,Saloon,Red,Toyota,Asaba,Delta,CarFlex,0
ID_NAWMLQO,2000-04-06,2001-04-06,Male,50,2000-04-06,3,Saloon,Black,Toyota,Kano Municipal,Kano,CarSafe,0
ID_N3ZU7SH,2000-04-16,2001-04-16,Male,40,2000-04-16,2,Saloon,Blue,Toyota,Kano Municipal,Kano,CarSafe,0
ID_O8BGMOY,2000-04-23,2001-04-23,Male,40,2000-04-23,1,Bus,Grey,Toyota,Sagamu,Ogun,CVTP,0
ID_CQH4ODH,2000-04-25,2001-04-25,Male,39,2000-04-25,5,Truck,White & Red,Iveco,Ibadan-North,Oyo,CVTP,1
ID_DGNY863,2000-05-01,2001-05-01,Male,38,2000-05-01,4,Saloon,Silver,Toyota,Asaba,Delta,Car Classic,1
ID_HFOTFPX,2000-05-11,2001-05-11,Male,24,2000-05-11,2,Saloon,Silver,Toyota,Kano Municipal,Kano,Car Classic,0
ID_HVR68Y3,2000-05-14,2001-05-14,Male,38,2000-05-14,2,Saloon,Red,Kia,Gwagwalada,Abuja,Car Classic,0
ID_U46A9RT,2000-05-20,2001-05-20,Male,37,2000-05-20,5,Saloon,Black,Honda,Kano Municipal,Kano,Car Plus,1
ID_AWW4E1K,2000-05-23,2001-05-23,Male,44,2000-05-23,2,Saloon,Black,Toyota,Zaria,Kaduna,Car Classic,0
ID_FSHXB74,2000-06-11,2001-06-11,Female,36,2000-06-11,2,Saloon,Grey,Toyota,Kano Municipal,Kano,Car Classic,0
ID_LFRNGHB,2000-06-23,2001-06-23,Male,41,2000-06-23,1,Saloon,Black,Honda,Obio-Akpor,Rivers,Car Classic,0
ID_QK86HQ3,2000-06-25,2001-06-25,Entity,30,2000-06-25,1,Saloon,Black,Honda,Kano Municipal,Kano,Car Classic,1
ID_WGXNUS0,2000-06-27,2001-06-27,Male,49,2000-06-27,1,Saloon,Black,Toyota,Kano Municipal,Kano,Car Classic,0
ID_CVI7PJG,2000-07-04,2001-07-04,Female,49,2000-07-04,1,Saloon,Red,Hyundai,Eti-Osa,Lagos,CarFlex,0
ID_K5GNLS9,2000-07-23,2001-07-23,Male,43,2000-07-23,5,Saloon,Black,Toyota,Gboko,Benue,CarSafe,0
ID_E3U6GB1,2000-08-17,2001-08-17,Male,37,2000-08-17,5,Saloon,Grey,Toyota,Ikorodu,Lagos,Car Classic,1
ID_81HMRT8,2000-09-02,2001-09-02,Male,40,2000-09-02,1,Saloon,Blue,Toyota,Nsukka,Enugu,Car Classic,0
ID_XVBKEC4,2000-09-07,2001-09-07,Male,34,2000-09-07,1,Saloon,Red,Toyota,Ikeja,Lagos,Car Classic,0
ID_VOH16EF,2000-09-07,2001-09-07,Male,40,2000-09-07,1,Saloon,Unknown,Toyota,Kano Municipal,Kano,Muuve,0
ID_TLEW666,2000-09-14,2001-09-14,Entity,10,2000-09-14,3,Pick Up,Blue,Ford,Kano Municipal,Kano,CVTP,1
ID_45W0LED,2000-10-06,2001-10-06,Joint Gender,40,2000-10-06,2,Saloon,Black,Toyota,Kano Municipal,Kano,CarSafe,0
ID_A3YKMEM,2000-10-10,2001-10-10,Entity,20,2000-10-10,5,Saloon,Unknown,DAF,Kano Municipal,Kano,CVTP,1
ID_K8TRGK2,2000-10-13,2001-10-13,Male,48,2000-10-13,2,Saloon,Gold,Toyota,Nasarawa,Kano,Car Classic,0
ID_BCUIMV0,2000-10-21,2001-10-21,Entity,10,2000-10-21,4,Bus,Unknown,Hyundai,Obio-Akpor,Rivers,CVTP,1
ID_X5ZALW9,2000-10-27,2001-10-27,Male,48,2000-10-27,1,Saloon,Red,Toyota,Kuje,Abuja,Car Classic,1
ID_XBI7KSU,2000-11-07,2001-11-07,Male,34,2000-11-07,4,Saloon,Black,Toyota,Effurun,Delta,Car Classic,0
ID_NM6Z6ZQ,2000-11-14,2001-11-14,Female,53,2000-11-14,4,Saloon,White,Honda,Kano Municipal,Kano,Car Classic,1
ID_D968ZRM,2000-11-26,2001-11-26,Female,50,2000-11-26,1,SUV,Ash,Volvo,Bwari,Abuja,Car Classic,1
ID_BR1RUG3,2000-12-04,2001-12-04,Female,36,2000-12-04,4,Saloon,Black,Toyota,Kano Municipal,Kano,Car Classic,1
ID_WKPEO4J,2000-12-16,2001-12-16,Male,40,2000-12-16,5,Saloon,Black,Kia,Effurun,Delta,Car Classic,0
ID_E70KEJX,2000-12-18,2001-12-18,Female,40,2000-12-18,2,Saloon,Silver,Honda,Nsukka,Enugu,CarSafe,0
ID_9B2NPNG,2000-12-24,2001-12-24,Male,35,2000-12-24,2,Saloon,Black,Toyota,Bonny,Rivers,CarSafe,0
ID_CR1QSJY,2000-12-24,2001-12-24,Female,38,2000-12-24,5,Saloon,Unknown,Toyota,Kano Municipal,Kano,Car Classic,0
ID_SPXFNN4,2000-12-25,2001-12-25,Male,51,2000-12-25,2,SUV,Red,Toyota,Kano Municipal,Kano,Customized Motor,0
ID_B8KSX8R,2000-12-26,2001-12-26,Male,52,2000-12-26,1,Saloon,Blue,Toyota,Obio-Akpor,Rivers,Car Classic,1
ID_TWPU20G,2000-12-27,2001-12-27,Male,33,2000-12-27,3,Saloon,Blue,Kia,Kano Municipal,Kano,Car Classic,1
ID_H2JYFHR,2000-12-28,2001-12-28,Male,28,2000-12-28,2,Saloon,Silver,Toyota,Obio-Akpor,Rivers,Car Plus,0
ID_9GZY9GU,2000-12-29,2001-12-29,Entity,20,2000-12-29,1,Saloon,Black,Mercedes,Kano Municipal,Kano,CVTP,1
ID_CF95F72,2000-12-30,2001-12-30,Female,31,2000-12-30,2,Saloon,Blue,Toyota,Otukpo,Benue,Car Plus,0
ID_1VUPFFM,2000-12-31,2001-12-31,Female,31,2000-12-31,2,Saloon,Black,Toyota,Kano Municipal,Kano,Car Classic,0
ID_MGSDK6X,2001-01-04,2002-01-04,Male,31,2001-01-04,2,Saloon,Black,Toyota,Port Harcourt,Rivers,Car Classic,0
ID_PDI75WZ,2001-01-09,2002-01-09,Female,29,2001-01-09,5,Saloon,White,Lexus,Kano Municipal,Kano,Car Classic,0
ID_97GX3WK,2001-01-17,2002-01-17,Male,48,2001-01-17,5,Saloon,Black,Toyota,Tarauni,Kano,Car Classic,0
ID_27HH31D,2001-01-20,2002-01-20,Male,31,2001-01-20,1,Saloon,Wine,Honda,Bonny,Rivers,Car Classic,0
ID_B7D7IZR,2001-01-21,2002-01-21,Male,32,2001-01-21,5,SUV,Silver,Toyota,Kano Municipal,Kano,Car Classic,1
ID_7VQ3JJ4,2001-01-23,2002-01-23,Male,45,2001-01-23,5,Saloon,Black,Toyota,Kano Municipal,Kano,Car Classic,1
ID_I92N2LE,2001-02-13,2002-02-13,Male,34,2001-02-13,2,Saloon,Black,Toyota,Kano Municipal,Kano,Car Classic,0
ID_IDOMKHO,2001-02-23,2002-02-23,Male,48,2001-02-23,5,Truck,Blue,Mack,Effurun,Delta,CVTP,1
ID_12Q01NN,2001-02-25,2002-02-25,Male,58,2001-02-25,5,Saloon,Silver,Honda,Kano Municipal,Kano,CarSafe,0
ID_CBN5N4U,2001-03-03,2002-03-03,Male,30,2001-03-03,1,Saloon,Black,Toyota,Kano Municipal,Kano,CarSafe,0
ID_DQQZ757,2001-03-04,2002-03-04,Male,20,2001-03-04,1,Saloon,White,Honda,Kano Municipal,Kano,CarSafe,0
ID_G9BRR6E,2001-03-08,2002-03-08,Female,31,2001-03-08,3,Saloon,White,Toyota,Kaduna-South,Kaduna,CarSafe,0
ID_0F1JIXI,2001-03-12,2002-03-12,Female,60,2001-03-12,5,Saloon,Black,Lexus,Surulere,Lagos,Car Classic,1
ID_ZSE8EJU,2001-03-19,2002-03-19,Male,35,2001-03-19,3,Saloon,Gold,Toyota,Kano Municipal,Kano,Car Classic,1
ID_X8UJVW7,2001-03-19,2002-03-19,Male,38,2001-03-19,5,Saloon,Silver,Nissan,Epe,Lagos,CarSafe,1
ID_6I04XX5,2001-04-05,2002-04-05,Female,50,2001-04-05,2,SUV,Black,Lexus,Kaduna-South,Kaduna,Customized Motor,0
ID_CP33H9I,2001-04-07,2002-04-07,Female,37,2001-04-07,5,Saloon,Black,Hyundai,Ojo,Lagos,Car Classic,1
ID_NWSOBRP,2001-04-11,2002-04-11,Female,33,2001-04-11,5,Saloon,Grey,Lexus,Kano Municipal,Kano,Car Classic,0
ID_S9EN93S,2001-04-13,2002-04-13,Entity,20,2001-04-13,4,Truck,Unknown,DAF,Kano Municipal,Kano,CVTP,0
ID_ZTTBXY2,2001-04-15,2002-04-15,Male,45,2001-04-15,2,Saloon,Black,Honda,Kano Municipal,Kano,Car Classic,0
ID_71P2NQ4,2001-04-22,2002-04-22,Female,51,2001-04-22,3,SUV,Grey,Mercedes,Kaduna-North,Kaduna,Car Classic,1
ID_WY15G6D,2001-04-27,2002-04-27,Male,45,2001-04-27,3,SUV,Black,Toyota,Obio-Akpor,Rivers,Car Classic,1
ID_9QZOI6O,2001-05-04,2002-05-04,Female,37,2001-05-04,5,SUV,Black,Toyota,Warri South,Delta,Car Classic,0
ID_VS4HCTB,2001-05-07,2002-05-07,Male,59,2001-05-07,5,Saloon,Black,Toyota,Sagamu,Ogun,Car Classic,0
ID_95WN3ZP,2001-05-14,2002-05-14,Male,42,2001-05-14,3,Saloon,White,Iveco,Kano Municipal,Kano,CVTP,0
ID_VE90DSQ,2001-05-19,2002-05-19,Female,72,2001-05-19,1,Saloon,Black,Toyota,Kano Municipal,Kano,Car Classic,0
ID_Q0US20R,2001-06-01,2002-06-01,Female,50,2001-06-01,2,Saloon,Black,Toyota,Kano Municipal,Kano,Car Classic,1
ID_D64C1UD,2001-06-04,2002-06-04,Male,20,2001-06-04,2,Saloon,Black,Toyota,Sagamu,Ogun,CarSafe,0
ID_N9QB5EC,2001-06-16,2002-06-16,Female,40,2001-06-16,4,Saloon,Black,Toyota,Kano Municipal,Kano,Car Classic,0
ID_XKY0W1Z,2001-06-17,2002-06-17,Female,31,2001-06-17,2,Saloon,White,Honda,Kano Municipal,Kano,CarSafe,0
ID_P7DHLWN,2001-06-17,2002-06-17,Entity,20,2001-06-17,2,Bus,Unknown,Toyota,Bonny,Rivers,CVTP,1
ID_7B5940Q,2001-06-23,2002-06-23,Female,35,2001-06-23,2,SUV,Black,Toyota,Otukpo,Benue,CarFlex,0
ID_PTVDH1D,2001-06-23,2002-06-23,Female,40,2001-06-23,1,SUV,White,Toyota,Ibadan-North,Oyo,Car Plus,0
ID_B7C9B2S,2001-06-26,2002-06-26,Male,50,2001-06-26,5,Saloon,Red,Honda,Eti-Osa,Lagos,CarSafe,0
ID_120TRM5,2001-07-01,2002-07-01,Male,44,2001-07-01,3,SUV,Red,Hyundai,Kano Municipal,Kano,CarSafe,0
ID_P63K3ER,2001-07-01,2002-07-01,Male,50,2001-07-01,1,Saloon,Red,Hyundai,Kosofe,Lagos,Car Classic,1
ID_SOKVWLH,2001-07-06,2002-07-06,Entity,10,2001-07-06,2,Saloon,Black,Toyota,Tarauni,Kano,CVTP,1
ID_G9V1JAW,2001-07-07,2002-07-07,Male,49,2001-07-07,5,Saloon,Black,Toyota,Port Harcourt,Rivers,Car Classic,0
ID_DI0WBZK,2001-07-12,2002-07-12,Male,20,2001-07-12,2,Saloon,Blue,Toyota,Ibadan-North,Oyo,Car Classic,0
ID_UQOB2JC,2001-07-14,2002-07-14,Joint Gender,53,2001-07-14,1,Mini Bus,Ash,Pontiac,Ogbomoso,Oyo,Car Classic,0
ID_SA8N6S2,2001-07-19,2002-07-19,Male,40,2001-07-19,4,SUV,Black,Hyundai,Kano Municipal,Kano,Car Classic,0
ID_AIJQ0D9,2001-08-04,2002-08-04,Male,42,2001-08-04,4,Saloon,Grey,Toyota,Kano Municipal,Kano,Car Classic,1
ID_VUT1OT3,2001-08-09,2002-08-09,Male,40,2001-08-09,5,Saloon,Unknown,Toyota,Enugu-North,Enugu,Muuve,0
ID_YT7AH3L,2001-08-10,2002-08-10,Male,33,2001-08-10,5,SUV,Black,Toyota,Kano Municipal,Kano,Car Classic,0
ID_3XGNAOP,2001-08-17,2002-08-17,Male,40,2001-08-17,3,Saloon,Unknown,Toyota,Kaduna-North,Kaduna,Muuve,1
ID_HOW1Y5F,2001-08-17,2002-08-17,Male,42,2001-08-17,1,Saloon,Silver,Toyota,Nasarawa,Kano,Car Classic,0
ID_0N2X552,2001-08-20,2002-08-20,Female,33,2001-08-20,2,Saloon,Green,Honda,Kano Municipal,Kano,Car Classic,0
ID_U9QTMJM,2001-09-01,2002-09-01,Male,39,2001-09-01,4,Saloon,Black,Toyota,Kano Municipal,Kano,Car Classic,1
ID_LRF2KEM,2001-09-04,2002-09-04,Male,44,2001-09-04,4,Saloon,Black,Toyota,Kuje,Abuja,Car Classic,1
ID_THM9GMJ,2001-09-05,2002-09-05,Joint Gender,36,2001-09-05,1,Saloon,Blue,Toyota,Kano Municipal,Kano,Car Classic,1
ID_LW204TI,2001-09-06,2002-09-06,Male,43,2001-09-06,5,Saloon,Grey,Toyota,Kano Municipal,Kano,Car Classic,1
ID_LW4ZOYC,2001-09-08,2002-09-08,Male,37,2001-09-08,1,Saloon,Black,Ford,Ogbomoso,Oyo,Car Classic,0
ID_VCVRN1Y,2001-09-24,2002-09-24,Female,59,2001-09-24,5,Saloon,Black,Toyota,Nasarawa,Kano,Car Classic,1
ID_F935SDO,2001-10-11,2002-10-11,Male,58,2001-10-11,3,SUV,Brown,Hyundai,Obio-Akpor,Rivers,Car Classic,0
ID_G2LOKLR,2001-10-12,2002-10-12,Male,50,2001-10-12,3,Saloon,Blue,Mazda,Kano Municipal,Kano,CarSafe,0
ID_IXYC0FG,2001-10-12,2002-10-12,Female,52,2001-10-12,4,Saloon,Black,Mercedes,Kano Municipal,Kano,Car Classic,0
ID_M03LNDU,2001-10-15,2002-10-15,Male,50,2001-10-15,5,Saloon,Red,Toyota,Ogbomoso,Oyo,CarSafe,0
ID_7EQAGEM,2001-10-16,2002-10-16,Female,36,2001-10-16,5,SUV,White,Toyota,Kano Municipal,Kano,CarFlex,0
ID_F7BDX8J,2001-10-25,2002-10-25,Male,35,2001-10-25,5,Saloon,Silver,Toyota,Kano Municipal,Kano,Car Classic,0
ID_5YJB5IU,2001-11-01,2002-11-01,Male,37,2001-11-01,5,SUV,Black,Honda,Sagamu,Ogun,Car Classic,1
ID_QHXUX4K,2001-11-02,2002-11-02,Male,38,2001-11-02,5,Saloon,Black,Hyundai,Kuje,Abuja,Car Classic,1
ID_N7NPU9B,2001-11-13,2002-11-13,Male,41,2001-11-13,2,Truck,Blue,Mack,Kano Municipal,Kano,CVTP,0
ID_QEEEI8F,2001-11-21,2002-11-21,Male,43,2001-11-21,2,Saloon,Grey,Toyota,Bwari,Abuja,Car Classic,0
ID_WWOGAPM,2001-11-21,2002-11-21,Male,34,2001-11-21,5,Saloon,Black,Toyota,Effurun,Delta,Car Classic,1
ID_FT6DVBL,2001-11-25,2002-11-25,Male,39,2001-11-25,2,Wagon,Red,Toyota,Bonny,Rivers,Car Classic,0
ID_5QKH3BY,2001-12-01,2002-12-01,Male,54,2001-12-01,5,SUV,Red,Lexus,Kano Municipal,Kano,Car Classic,1
ID_VHTN6L5,2001-12-03,2002-12-03,Male,57,2001-12-03,5,Saloon,Cream,Toyota,Kano Municipal,Kano,Car Classic,1
ID_HIRTMNV,2001-12-20,2002-12-20,Male,56,2001-12-20,3,Saloon,Unknown,Iveco,Otukpo,Benue,CVTP,1
ID_VOQP7BT,2001-12-21,2002-12-21,Female,40,2001-12-21,4,Saloon,Grey,Hyundai,Kano Municipal,Kano,Car Classic,0
ID_Y75NLSI,2001-12-25,2002-12-25,Male,30,2001-12-25,5,Saloon,Black,Honda,Kano Municipal,Kano,CarSafe,0
ID_H78T0J9,2001-12-25,2002-12-25,Male,42,2001-12-25,2,Saloon,Black,Toyota,Nasarawa,Kano,Car Classic,0
ID_JTM0FXQ,2001-12-26,2002-12-26,Joint Gender,39,2001-12-26,2,SUV,Grey,Toyota,Ikeja,Lagos,Car Classic,0
ID_3WDR2F8,2001-12-27,2002-12-27,Female,32,2001-12-27,1,Saloon,Grey,Toyota,Tarauni,Kano,Car Classic,1
ID_MC20N8I,2001-12-27,2002-12-27,Male,20,2001-12-27,3,SUV,Green,Acura,Kuje,Abuja,Customized Motor,0
ID_OVRAF8K,2001-12-28,2002-12-28,Male,45,2001-12-28,2,Saloon,Black,Range Rover,Ado-Odo/Ota,Ogun,CarSafe,0
ID_QFYHY0F,2001-12-29,2002-12-29,Male,40,2001-12-29,2,Motorcycle,Black,Toyota,Otukpo,Benue,Motor Cycle,0
ID_RCC8YFZ,2001-12-30,2002-12-30,Male,46,2001-12-30,2,Saloon,Black,Toyota,Enugu-East,Enugu,CarSafe,0
ID_VU0AKHL,2001-12-31,2002-12-31,Joint Gender,30,2001-12-31,2,Saloon,Black,Toyota,Kano Municipal,Kano,CarSafe,0
ID_D4NST8Z,2002-01-01,2003-01-01,Female,32,2002-01-01,3,Saloon,Blue,Hyundai,Makurdi,Benue,Car Classic,0
ID_BIV8C5X,2002-01-03,2003-01-03,Male,29,2002-01-03,1,Saloon,White,Toyota,Kano Municipal,Kano,CarSafe,0
ID_F1NW431,2002-01-03,2003-01-03,Male,38,2002-01-03,4,Saloon,Blue,Honda,Kano Municipal,Kano,Car Plus,0
ID_8KBIIXA,2002-01-06,2003-01-06,Female,36,2002-01-06,2,Saloon,Black,Toyota,Gboko,Benue,Car Classic,0
ID_BPOJTKE,2002-01-09,2003-01-09,Male,35,2002-01-09,5,Saloon,Black,Toyota,Enugu-North,Enugu,Car Classic,1
ID_AU8S9L8,2002-01-11,2003-01-11,Male,26,2002-01-11,2,Saloon,Black,Toyota,Kano Municipal,Kano,Car Classic,0
ID_40C8RJM,2002-01-12,2003-01-12,Female,33,2002-01-12,2,Saloon,Black,Toyota,Enugu-North,Enugu,CarSafe,0
ID_8K3XJ81,2002-01-13,2003-01-13,Male,39,2002-01-13,2,Saloon,Red,Opel,Kano Municipal,Kano,CarSafe,0
ID_E4CBTJK,2002-01-13,2003-01-13,Male,36,2002-01-13,2,Saloon,Silver,Toyota,Gwagwalada,Abuja,Car Classic,0
ID_FBCKR5B,2002-01-15,2003-01-15,Male,34,2002-01-15,4,Saloon,Black,Toyota,Ikorodu,Lagos,Car Classic,0
ID_S9FJFJ1,2002-01-16,2003-01-16,Male,35,2002-01-16,3,Saloon,Red,Volkswagen,Kano Municipal,Kano,CarSafe,0
ID_NN3Q60H,2002-01-20,2003-01-20,Female,37,2002-01-20,2,Saloon,Unknown,Peugeot,Kano Municipal,Kano,Car Classic,1
ID_A8IB4O2,2002-01-20,2003-01-20,Female,57,2002-01-20,3,SUV,Gold,Toyota,Ado-Odo/Ota,Ogun,Car Classic,0
ID_GTXHSYR,2002-01-26,2003-01-26,Male,40,2002-01-26,2,Saloon,Black,Toyota,Kano Municipal,Kano,CarSafe,0
ID_GX01BW2,2002-02-01,2003-02-01,Male,36,2002-02-01,2,Saloon,Blue,Toyota,Kano Municipal,Kano,Car Classic,0
ID_RT10OPH,2002-02-05,2003-02-05,Male,37,2002-02-05,3,SUV,Brown,Toyota,Kano Municipal,Kano,Car Classic,1
ID_YOC28J1,2002-02-05,2003-02-05,Male,37,2002-02-05,4,Saloon,Black,Toyota,Kano Municipal,Kano,Car Classic,1
ID_E4LS1TC,2002-02-08,2003-02-08,Male,40,2002-02-08,3,Saloon,Black,Mitsubishi,Kano Municipal,Kano,Muuve,1
ID_PUX31XY,2002-02-10,2003-02-10,Male,44,2002-02-10,2,Saloon,Silver,Toyota,Kano Municipal,Kano,Car Classic,0
ID_M19S9Y7,2002-02-12,2003-02-12,Male,34,2002-02-12,3,Saloon,Blue,Toyota,Abeokuta,Ogun,Car Classic,1
ID_4RL3I16,2002-02-13,2003-02-13,Male,46,2002-02-13,4,Saloon,Black,Toyota,Kano Municipal,Kano,CarSafe,0
ID_X4AZUJC,2002-02-19,2003-02-19,Male,31,2002-02-19,2,Saloon,Black,Toyota,Kano Municipal,Kano,CarSafe,0
ID_CCSOS0Z,2002-02-20,2003-02-20,Male,43,2002-02-20,1,SUV,Black,Toyota,Kano Municipal,Kano,Car Classic,0
ID_PNTJILD,2002-03-12,2003-03-12,Male,54,2002-03-12,1,SUV,Blue,Toyota,Kano Municipal,Kano,CarSafe,0
