ID,Policy Start Date,Policy End Date,Gender,Age,First Transaction Date,No_Pol,Car_Category,Subject_Car_Colour,Subject_Car_Make,LGA_Name,State,ProductName,target
ID_35TQ1DV,1/2/2000,1/1/2001,Female,50,1/2/2000,1,Saloon,Red,Ford,,,Car Classic,1
ID_HPZ1H2G,1/6/2000,1/5/2001,Male,64,1/6/2000,4,,,,,,CarSafe,0
ID_DG62M85,1/6/2000,1/5/2001,Male,29,1/6/2000,1,Saloon,Unknown,Lexus,,,Car Classic,0
ID_PU0HDUL,1/15/2000,1/14/2001,Female,30,1/15/2000,1,Saloon,Black,Hyundai,,,Car Classic,0
ID_O1FTWQ7,1/18/2000,1/17/2001,Male,34,1/18/2000,4,Saloon,Dark Gray,Toyota,Asaba,Delta,Car Classic,1
ID_7YH1APB,1/22/2000,1/21/2001,Female,38,1/22/2000,1,Saloon,Silver,Toyota,,,Car Classic,0
ID_I153Z46,1/26/2000,1/25/2001,Male,12,1/26/2000,3,Truck,White,Mitsubishi,Tarauni,Kano,CVTP,1
ID_CP33H9I,2/3/2000,2/2/2001,Female,37,2/3/2000,2,,,Hyundai,,,Car Classic,0
ID_MZVC182,2/5/2000,2/4/2001,Male,50,2/5/2000,5,Saloon,Blue,Honda,Badagry,Lagos,Car Classic,1
ID_YXFTOAN,2/26/2000,2/25/2001,Male,73,2/26/2000,4,Saloon,Black,Toyota,Warri South,Delta,Customized Motor,0
ID_CPTF9BZ,3/4/2000,3/4/2001,Female,55,3/4/2000,1,Saloon,Black,Toyota,,,Car Classic,1
ID_XRY9VAW,3/5/2000,3/5/2001,Female,53,3/5/2000,5,SUV,Black,Ford,Enugu-East,Enugu,Car Classic,1
ID_QFYHY0F,3/5/2000,3/5/2001,,4,3/5/2000,2,Motorcycle,Blue,Toyota,,,Motor Cycle,1
ID_E8K93HH,3/7/2000,3/7/2001,Female,55,3/7/2000,3,Saloon,Blue,Suzuki,Abeokuta,Ogun,CarSafe,0
ID_XRUXPX9,3/21/2000,3/21/2001,Male,40,3/21/2000,5,Saloon,Silver,Mercedes,Asaba,Delta,Car Classic,1
ID_718KNIM,4/6/2000,4/6/2001,Male,65,4/6/2000,1,Saloon,Red,Toyota,Asaba,Delta,CarFlex,0
ID_NAWMLQO,4/6/2000,4/6/2001,Male,50,4/6/2000,3,,,,,,CarSafe,0
ID_N3ZU7SH,4/16/2000,4/16/2001,Male,40,4/16/2000,2,Saloon,Blue,Toyota,,,CarSafe,0
ID_O8BGMOY,4/23/2000,4/23/2001,,120,4/23/2000,1,Bus,Grey,Toyota,Sagamu,Ogun,CVTP,0
ID_CQH4ODH,4/25/2000,4/25/2001,Male,39,4/25/2000,5,Truck,White & Red,Iveco,Ibadan-North,Oyo,CVTP,1
ID_DGNY863,5/1/2000,5/1/2001,Male,38,5/1/2000,4,Saloon,Silver,Toyota,Asaba,Delta,Car Classic,1
ID_HFOTFPX,5/11/2000,5/11/2001,Male,24,5/11/2000,2,Saloon,Silver,Toyota,,,Car Classic,0
ID_HVR68Y3,5/14/2000,5/14/2001,Male,38,5/14/2000,2,Saloon,Red,Kia,Gwagwalada,Abuja,Car Classic,0
ID_U46A9RT,5/20/2000,5/20/2001,Male,37,5/20/2000,5,Saloon,Black,Honda,,,Car Plus,1
ID_AWW4E1K,5/23/2000,5/23/2001,Male,44,5/23/2000,2,,,Toyota,Zaria,Kaduna,Car Classic,0
